1.0	1.000000197040245	1.0000000000000444	0.9999999999999721	1.0000000000001843	1.0	1.9704016177534304e-5	0.0
2.0	1.000000788162145	1.0000005911934862	1.0000005906775535	1.0000005917091113	1.0000000001450815	1.9696850369558257e-5	3.940800976653428e-5
3.0	1.0000017733691942	1.0000015765208392	1.0000015744596649	1.0000015785764413	1.0000000003912743	1.9684800586551846e-5	3.937465490656409e-5
4.0	1.0000031526672164	1.0000029559875832	1.0000029510099653	1.0000029609443373	1.0000000007380445	1.9667901318295565e-5	3.927657571088548e-5
5.0	1.000004926064365	1.0000047296010741	1.000004720101445	1.0000047390465923	1.0000000011849413	1.964623231829574e-5	3.9094294325158154e-5
6.0	1.0000070935711238	1.0000068973713463	1.0000068815805407	1.0000069130479337	1.0000000017315596	1.9619838578850653e-5	3.8815770335265005e-5
7.0	1.0000096552003057	1.0000094593108078	1.0000094353426403	1.0000094830680046	1.0000000023775277	1.9588760662182405e-5	3.8433392057564646e-5
8.0	1.0000126109670544	1.0000124154343135	1.0000123813168624	1.0000124491971243	1.0000000031224925	1.9553027506171485e-5	3.794234447282745e-5
9.0	1.0000159608888441	1.000015765758973	1.000015719455397	1.0000158115062987	1.0000000039661212	1.951267567535265e-5	3.733954823234781e-5
10.0	1.0000197049854798	1.0000195103043565	1.000019449727397	1.0000195700541772	1.0000000049080862	1.9467728710917985e-5	3.662305443044825e-5
11.0	1.0000238432790973	1.0000236490923	1.0000235721139803	1.0000237248913741	1.0000000059480663	1.9418216736914734e-5	3.579159272130571e-5
12.0	1.0000283757941646	1.000028182147042	1.0000280866056186	1.000028276063653	1.0000000070857473	1.9364162782445322e-5	3.484435338101227e-5
13.0	1.0000333025574812	1.0000331094951178	1.0000329931998362	1.0000332236138054	1.000000008320814	1.9305593417307442e-5	3.378079153095754e-5
14.0	1.0000386235981793	1.0000384311654194	1.0000382919000725	1.0000385675832162	1.000000009652955	1.9242532779041716e-5	3.260055308512084e-5
15.0	1.0000443389477238	1.0000441471892147	1.0000439827146452	1.0000443080127845	1.000000011081857	1.9175000707806465e-5	3.1303382024916084e-5
16.0	1.0000504486399138	1.0000502576000319	1.0000500656559093	1.000050444943504	1.0000000126072173	1.910302446977963e-5	2.9889084894470788e-5
17.0	1.0000569527108818	1.000056762433837	1.000056540740187	1.0000569784171598	1.000000014228722	1.9026620861065434e-5	2.8357522717764028e-5
18.0	1.0000638511990954	1.000063661728833	1.0000634079869248	1.0000639084764233	1.0000000159460685	1.8945816523734533e-5	2.6708554934583528e-5
19.0	1.0000711441453578	1.0000709555256455	1.0000706674189492	1.0000712351653072	1.0000000177589405	1.8860629405995844e-5	2.4942074415405864e-5
20.0	1.000078831592808	1.0000786438672227	1.0000783190620994	1.0000789585292513	1.0000000196670435	1.8771078775850616e-5	2.305796196707473e-5
21.0	1.0000869135869226	1.0000867267988038	1.000086362944946	1.0000870786152114	1.0000000216700633	1.8677188573553305e-5	2.105610165363374e-5
